"No INV,Item,#Jumlah PAX,#Harga/Pax,# Sub Total,Catatan Tambahan"
"INV/2025/05-VE-0024,Free Stall 50pax,Rp1,Rp0,0,"
"INV/2025/05-VE-0024,Free 1 Room Duo Serenity Premium +BF 1 Night,Rp1,Rp0,0,"
"INV/2025/04-VE-0026,Catering Surcharge (175 pax),Rp1,Rp1.500.000,1.500.000,"
"INV/2025/04-VE-0026,Stall Surcharge,Rp1,Rp500.000,500.000,"
"INV/2025/05-VE-0027,Vallet,Rp1,Rp500.000,500.000,"
"INV/2025/05-VE-0027,Free 1 kamar Compact Duo,Rp1,Rp0,0,"
"INV/2025/05-VE-0027,Free Test Food 1x (4 pax),Rp1,Rp0,0,"
"INV/2025/05-VE-0028,Free 1 Room Duo Serenity Premium (BF),Rp1,Rp0,0,"
"INV/2025/05-VE-0028,Corkage external catering 200 pax,Rp1,Rp1.500.000,1.500.000,"
"INV/2025/02-VE-0029,FREE  - 1 room duo serenity premium + Honeymoon decoration (BF) - 1 room duo serenity inc bf - 50 PAX gubukan - Undangan digital - Pundi uang (tuker balon),Rp1,Rp0,0,"
"INV/2025/05-VE-0030,Catering Surcharge (300 pax),Rp1,Rp2.000.000,2.000.000,"
"INV/2025/05-VE-0030,Free 1 Room Duo Serenity Premium +BF 1 Night,Rp1,Rp0,0,"
"INV/2025/04-VE-0031,FREE1 room duo serenity premium + Honeymoon decoration (BF),Rp1,Rp0,0,"
"INV/2025/04-VE-0031,Additional buffet,Rp100,Rp88.000,8.800.000,"
"INV/2025/04-VE-0031,Takeout Entertainment,Rp1,-Rp1.500.000,-1.500.000,"
"INV/2025/04-VE-0031,Duo Serenity Premium BF (lt 7) Early CI 3 Rooms,Rp7,Rp440.000,3.080.000,"
"INV/2025/04-VE-0031,Duo Serenity Premium BF (lt 6),Rp3,Rp440.000,1.320.000,"
"INV/2025/04-VE-0031,Duo Serenity Premium BF (lt 6),Rp4,Rp440.000,1.760.000,"
"INV/2025/04-VE-0032,Vallet,Rp1,Rp500.000,Rp500.000,"
"INV/2025/04-VE-0032,Free 1 kamar Compact Duo,Rp1,Rp0,Rp0,"
"INV/2025/04-VE-0032,Free Test Food 1x (4 pax),Rp1,Rp0,0,"
"INV/2025/05-VE-0025,Catering Surcharge (400 pax),Rp1,Rp2.500.000,Rp2.500.000,"
"INV/2025/05-VE-0025,Free 1 Room Duo Serenity Premium +BF 1 Night,Rp1,Rp0,0,"
"INV/2025/04-VE-0033,Catering Surcharge (200pax),Rp1,Rp2.000.000,2.000.000,"
"INV/2025/04-VE-0033,Additional hour 1 Jam,Rp1,Rp500.000,500.000,"
"INV/2025/03-VE-0034,External Catering Surcharge 300 pax,Rp1,Rp2.000.000,2.000.000,"
"INV/2025/03-VE-0034,Deposit Catering,Rp1,Rp500.000,500.000,"
"INV/2025/03-VE-0034,Free 1 kamar Duo Serenity Premium Inc BF,Rp1,Rp0,0,"
"INV/2025/03-VE-0035,Vallet,Rp1,Rp500.000,Rp500.000,"
"INV/2025/03-VE-0035,Free 1 kamar Duo Serenity Premium,Rp1,Rp0,Rp0,"
"INV/2025/03-VE-0035,Free 1x test food (4pax),Rp1,Rp0,0,"
"INV/2025/05-VE-0036,Catering Surcharge (300 pax),Rp1,Rp2.000.000,Rp2.000.000,"
"INV/2025/05-VE-0036,Free 1 Room Duo Serenity Premium +BF 1 Night,Rp1,Rp0,Rp0,"
"INV/2025/02-VE-0037,FREE  - 1 room duo serenity premium + Honeymoon decoration (BF) - Undangan digital - 2 burung merpati,Rp1,Rp1,Rp1,"
"INV/2025/02-VE-0037,(make up & box seserahan),Rp1,Rp2.350.000,Rp2.350.000,"
"INV/2025/01-VE-0038,- Free Duo Serenity Premium Inc Breakfast - Free Valet - 4 Jam Penggunaan,1,,0,"
"INV/2025/01-VE-0038,Corkage 250 pax,Rp1,Rp2.000.000,2.000.000,"
"INV/2025/01-VE-0038,Extra Time (hours),Rp2,Rp500.000,Rp1.000.000,"
"INV/2025/01-VE-0038,Cancel tanggal awal from 25 Mei 2025 to 11 Oktober 2025,Rp1,Rp700.000,Rp700.000,"
"INV/2025/05-VE-0039,Catering Surcharge (150-190 pax),Rp1,Rp1.500.000,Rp1.500.000,"
"INV/2025/05-VE-0039,Free 1 Room Duo Serenity Premium +BF 1 Night,Rp1,Rp0,Rp0,"
"INV/2025/03-VE-0041,Catering Surcharge (160pax),Rp1,Rp1.500.000,Rp1.500.000,"
"INV/2025/03-VE-0041,Deposit,Rp1,Rp500.000,Rp500.000,"
"INV/2025/03-VE-0041,Free 1 Kamar Duo Serenity Premium 1 Night,Rp1,Rp0,Rp0,"
"INV/2025/03-VE-0042,External Catering Surcharge 150 pax,Rp1,Rp1.500.000,Rp1.500.000,"
"INV/2025/03-VE-0042,Deposit Catering,Rp1,Rp500.000,500.000,"
"INV/2025/03-VE-0042,Free 1 kamar Duo Serenity Premium Inc BF,Rp1,Rp0,Rp0,"
"INV/2025/03-VE-0044,- Free Duo Serenity Premium Inc Breakfast - Free Valet - 4 Jam Penggunaan,Rp1,Rp0,Rp0,"
"INV/2025/03-VE-0044,Corkage 400 pax,Rp1,Rp2.500.000,Rp2.500.000,"
"INV/2025/03-VE-0044,Additional Extra Time (1 hour),Rp1,Rp500.000,Rp500.000,"
"INV/2025/02-VE-0045,Addition Buffet,Rp100,Rp88.000,Rp8.800.000,"
"INV/2025/02-VE-0045,Additional Stall / Gubukan,Rp100,Rp20.000,Rp2.000.000,"
"INV/2025/02-VE-0045,FREE  - 1 room duo serenity premium + Honeymoon decoration (BF) - 1 room compact duo (BF) - Undangan digital - 30Pcs Balon,Rp1,Rp0,Rp0,"
